region,year_month,transaction_count
서대문구,2025-09-01,349
서대문구,2025-10-01,398
서대문구,2025-11-01,138
서대문구,2025-12-01,235
서대문구,2026-01-01,256
서대문구,2026-02-01,220
서대문구,2026-03-01,235
서대문구,2026-04-01,134
성동구,2025-04-01,193
성동구,2025-05-01,503
성동구,2025-06-01,764
성동구,2025-07-01,104
성동구,2025-08-01,210
성동구,2025-09-01,560
성동구,2025-10-01,370
성동구,2025-11-01,65
성동구,2025-12-01,139
성동구,2026-01-01,127
성동구,2026-02-01,117
성동구,2026-03-01,108
성동구,2026-04-01,82
성북구,2025-04-01,171
성북구,2025-05-01,423
성북구,2025-06-01,598
성북구,2025-07-01,205
성북구,2025-08-01,310
성북구,2025-09-01,512
성북구,2025-10-01,492
성북구,2025-11-01,195
성북구,2025-12-01,313
성북구,2026-01-01,357
성북구,2026-02-01,402
성북구,2026-03-01,340
성북구,2026-04-01,208
양천구,2025-04-01,141
양천구,2025-05-01,368
양천구,2025-06-01,524
양천구,2025-07-01,175
양천구,2025-08-01,121
양천구,2025-09-01,352
양천구,2025-10-01,418
양천구,2025-11-01,164
양천구,2025-12-01,217
양천구,2026-01-01,232
양천구,2026-02-01,248
양천구,2026-03-01,200
양천구,2026-04-01,119
영등포구,2025-04-01,195
영등포구,2025-05-01,483
영등포구,2025-06-01,677
영등포구,2025-07-01,224
영등포구,2025-08-01,232
영등포구,2025-09-01,486
영등포구,2025-10-01,446
영등포구,2025-11-01,109
영등포구,2025-12-01,235
영등포구,2026-01-01,264
영등포구,2026-02-01,313
영등포구,2026-03-01,261
영등포구,2026-04-01,158
은평구,2025-04-01,95
은평구,2025-05-01,235
은평구,2025-06-01,383
은평구,2025-07-01,190
은평구,2025-08-01,196
은평구,2025-09-01,297
은평구,2025-10-01,360
은평구,2025-11-01,178
은평구,2025-12-01,212
은평구,2026-01-01,266
은평구,2026-02-01,331
은평구,2026-03-01,313
은평구,2026-04-01,134
종로구,2025-04-01,21
종로구,2025-05-01,56
종로구,2025-06-01,94
종로구,2025-07-01,34
종로구,2025-08-01,42
종로구,2025-09-01,65
종로구,2025-10-01,86
종로구,2025-11-01,24
종로구,2025-12-01,44
종로구,2026-01-01,45
종로구,2026-02-01,51
종로구,2026-03-01,53
종로구,2026-04-01,35
중구,2025-04-01,52
중구,2025-05-01,114
중구,2025-06-01,186
중구,2025-07-01,47
중구,2025-08-01,61
중구,2025-09-01,154
중구,2025-10-01,140
중구,2025-11-01,32
중구,2025-12-01,73
중구,2026-01-01,77
중구,2026-02-01,62
중구,2026-03-01,95
중구,2026-04-01,52
중랑구,2025-04-01,67
중랑구,2025-05-01,171
중랑구,2025-06-01,247
중랑구,2025-07-01,119
중랑구,2025-08-01,126
중랑구,2025-09-01,243
중랑구,2025-10-01,239
중랑구,2025-11-01,97
중랑구,2025-12-01,150
중랑구,2026-01-01,189
중랑구,2026-02-01,200
중랑구,2026-03-01,225
중랑구,2026-04-01,188
